stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
20382,1256,La Cafetière,,14.655906,-61.059373,0,10315,0
20383,1257,Voltigeur,,14.657070,-61.060241,0,10316,0
20384,1258,Ribodeau,,14.659091,-61.061838,0,10317,0
20385,1259,Derainville,,14.660308,-61.062767,0,10318,0
10319,ECRIVL5,Ecole Riviere L'or PV5,,14.661481,-61.062833,1,,0
20386,1260,Ecole Riviere L'or PV5,,14.661481,-61.062833,0,10319,0
20387,1261,Mahogany,,14.662641,-61.063721,0,10320,0
20388,1262,Foyer De L'enfance,,14.664869,-61.063506,0,10321,0
20389,1263,Cat,,14.667986,-61.063053,0,10322,0
20390,1264,Alamanda,,14.668836,-61.064029,0,10323,0
20391,1265,Les Mandariniers,,14.670549,-61.063502,0,10324,0
20392,1266,Cordéline,,14.671982,-61.064325,0,10325,0
20393,1267,Croton,,14.673755,-61.065467,0,10326,0
20394,1268,Ixora,,14.675272,-61.065220,0,10327,0
20395,1269,La Source,,14.676643,-61.066248,0,10328,0
20396,1270,Les Bananiers,,14.680672,-61.066495,0,10329,0
20397,1271,Vanille,,14.679517,-61.065149,0,10330,0
20398,1272,Alpinia,,14.678247,-61.063307,0,10331,0
20399,1273,Bougainvillier,,14.677264,-61.062351,0,10332,0
10333,CALVAIR,Calvaire,,14.676827,-61.060462,1,,0
20400,1274,Calvaire,,14.676827,-61.060462,0,10333,0
10381,BOTH,Bois Thibault Pv,,14.648367,-61.084917,1,,0
20449,1323,Bois Thibault Pv,,14.648367,-61.084917,0,10381,0
10380,BOTH4,Bois Thibault 4Pv,,14.647492,-61.084529,1,,0
21064,2214,Bois Thibault 4Pv,,14.647402,-61.084506,0,10380,0
10379,BOTH3,Bois Thibault 3Pv,,14.646123,-61.085028,1,,0
21065,2215,Bois Thibault 3Pv,,14.646018,-61.085062,0,10379,0
10378,BOTH2,Bois Thibault 2Pv,,14.644599,-61.084761,1,,0
21405,2671,Bois Thibault 2Pv,,14.644723,-61.084818,0,10378,0
10377,BOTH1,Bois Thibault 1Pv,,14.643223,-61.084547,1,,0
21067,2217,Bois Thibault 1Pv,,14.643350,-61.084568,0,10377,0
10458,ABEIL,L'abeille Pv,,14.639997,-61.083045,1,,0
21132,2285,L'abeille Pv,,14.639748,-61.082978,0,10458,0
10829,MOVE,Croisee Morne Venté Pv,,14.638406,-61.082172,1,,0
21068,2218,Croisee Morne Venté Pv,,14.638406,-61.082172,0,10829,0
10375,DESROC6,Desrocher 6Pv,,14.636499,-61.081256,1,,0
21069,2219,Desrocher 6Pv,,14.636630,-61.081294,0,10375,0
10373,DESROC5,Desrocher 5Pv,,14.633485,-61.079760,1,,0
21070,2220,Desrocher 5Pv,,14.634988,-61.080633,0,10373,0
10374,REMPA,Les Remparts Pv,,14.633323,-61.079756,1,,0
21071,2221,Les Remparts Pv,,14.633382,-61.079832,0,10374,0
10372,DESROC4,Desrocher 4Pv,,14.631753,-61.078970,1,,0
21072,2222,Desrocher 4Pv,,14.632395,-61.079077,0,10372,0
10371,DESROC3,Desrocher 3Pv,,14.630228,-61.078948,1,,0
21073,2223,Desrocher 3Pv,,14.630695,-61.079008,0,10371,0
10370,DESROC2,Desrocher 2Pv,,14.628458,-61.078097,1,,0
21074,2224,Desrocher 2Pv,,14.628324,-61.078036,0,10370,0
10369,DESROC1,Desrocher 1Pv,,14.627741,-61.077255,1,,0
21075,2225,Desrocher 1Pv,,14.627767,-61.077175,0,10369,0
10368,CASTDE,Castel Desrocher,,14.627508,-61.075671,1,,0
21076,2226,Castel Desrocher,,14.627550,-61.075719,0,10368,0
10367,ATHANA,Athanase Pv,,14.627472,-61.074639,1,,0
21077,2227,Athanase Pv,,14.627456,-61.074954,0,10367,0
10342,CRRO,Croisée Desrochers,,14.624844,-61.072465,1,,0
21046,2196,Croisée Desrochers,,14.624923,-61.072481,0,10342,0
10341,LACARRI,La Carrière,,14.621296,-61.071456,1,,0
21047,2197,La Carrière,,14.621608,-61.071735,0,10341,0
10340,DETBOU,Detour Bourdin,,14.621051,-61.069676,1,,0
21048,2198,Detour Bourdin,,14.621119,-61.069639,0,10340,0
10339,LUNAROC,Luna Rock Pv,,14.618597,-61.070743,1,,0
21049,2199,Luna Rock Pv,,14.618243,-61.071031,0,10339,0
10337,CRFTPAI,Cour Fruit A Pain,,14.615371,-61.071947,1,,0
21050,2200,Cour Fruit A Pain,,14.614977,-61.072014,0,10337,0
10253,ABGRE,Abbe Gregroire,,14.611561,-61.071376,1,,0
21066,2216,Abbe Gregroire,,14.611404,-61.071310,0,10253,0
10827,GABPERI,Gabriel Peri,,14.608021,-61.069866,1,,0
21052,2202,Gabriel Peri,,14.608021,-61.069866,0,10827,0
10088,CLEM,Gare Clemenceau,,14.607436,-61.071371,1,,0
20171,2010,Gare Clemenceau,,14.607697,-61.071341,0,10088,0
10264,ALIK,Gare Aliker Paul Langevin,,14.608552,-61.071562,1,,0
20975,2125,Gare Aliker Paul Langevin,,14.608066,-61.072116,0,10264,0
